224 #waga drzewa
65 #liczba wierzcholkow
44, 82, 58, 88, 20, 59, 27, 81, 43, 67, 57, 54, 91, 95, 36, 62, 16, 55, 50, 83, 18, 11, 38, 19, 79, 25, 84, 97, 52, 23, 60, 49, 61, 40, 85, 17, 66, 93, 69, 9, 34, 100, 21, 70, 5, 94, 89, 51, 46, 33,  #terminale
3 33 3
3 17 2
3 94 2
5 70 3
5 34 1
5 98 2
6 93 2
6 69 2
9 61 3
11 85 2
11 20 10
12 57 2
12 23 2
12 67 3
13 97 2
13 57 2
14 94 2
14 84 1
14 46 3
14 51 7
16 68 5
18 57 4
18 19 4
19 31 3
19 59 6
21 33 1
21 61 4
21 35 4
21 68 5
23 39 2
25 98 10
27 55 1
27 30 4
30 40 7
31 70 1
33 73 3
35 36 1
38 70 3
39 66 4
39 83 6
43 72 3
44 73 1
46 54 3
49 100 4
49 72 3
49 91 7
50 75 1
50 81 4
52 79 3
55 79 1
55 97 4
55 62 9
57 93 2
58 75 1
59 76 5
60 76 5
66 85 5
73 79 5
75 97 4
81 82 2
83 95 5
83 88 9
85 89 1
85 100 3
