569 #waga drzewa
307 #liczba wierzcholkow
374, 216, 146, 352, 134, 83, 308, 369, 246, 158, 29, 274, 20, 57, 437, 255, 382, 298, 64, 165, 281, 9, 42, 429, 344, 39, 69, 19, 331, 154, 112, 94, 202, 356, 376, 425, 495, 417, 209, 191, 96, 325, 252, 484, 431, 396, 168, 358, 139, 258, 367, 366, 330, 234, 306, 75, 307, 38, 62, 494, 455, 424, 449, 43, 239, 263, 488, 364, 279, 223, 486, 137, 90, 375, 213, 463, 15, 262, 458, 440, 173, 470, 119, 482, 302, 368, 326, 229, 217, 143, 380, 270, 253, 93, 354, 175, 185, 342, 413, 348, 249, 316, 127, 265, 391, 58, 340, 157, 132, 222, 269, 467, 278, 259, 300, 3, 4, 499, 106, 208, 78, 178, 172, 2, 446, 387, 284, 50, 492, 51, 349, 76, 399, 33, 272, 219, 89, 247, 81, 410, 32, 198, 212, 379, 167, 27, 386, 179, 498, 111, 238, 26, 195, 121, 30, 452, 447, 289, 435, 426, 24, 277, 332, 415, 497, 233, 148, 71, 464, 361, 465, 303, 66, 491, 131, 347, 490, 290, 268, 385, 271, 91, 11, 473, 469, 313, 164, 318, 221, 388, 310, 359, 394, 70, 86, 414, 334, 496, 140, 115, 79, 35, 321, 176, 292, 98, 113, 162, 77, 454, 355, 351, 156, 7, 276, 456, 360, 320, 103, 17, 84, 227, 23, 393, 196, 242, 147, 12, 293, 136, 160, 397, 406, 286, 390, 304, 460, 31, 188, 210, 427, 67, 267, 327, 205, 48, 451, 110, 438, 280,  #terminale
2 106 2
3 247 1
3 499 2
4 164 2
6 267 1
6 132 2
7 43 3
7 263 1
9 130 2
9 486 1
9 90 2
9 403 2
11 271 3
11 114 1
12 222 3
12 88 1
15 483 1
17 304 2
17 39 1
17 410 1
17 191 2
17 316 2
19 462 1
20 425 5
23 374 1
23 457 1
24 137 1
24 482 1
26 347 1
26 274 2
26 289 7
27 114 1
27 196 2
27 148 5
29 413 4
30 122 1
31 173 2
32 167 1
32 209 3
33 41 1
33 195 1
33 415 2
35 318 2
35 185 1
38 319 1
38 334 2
39 166 1
41 137 1
42 354 3
43 481 1
43 168 1
43 474 2
46 77 1
46 121 1
46 435 1
46 390 1
48 174 1
48 433 2
50 316 1
50 396 2
50 308 3
51 252 2
51 358 2
51 470 2
57 198 1
57 495 2
57 447 2
58 494 2
58 156 1
61 66 1
61 331 1
61 391 2
62 166 1
62 69 1
64 380 2
66 111 3
67 303 1
67 79 2
69 158 2
70 491 3
71 435 2
71 134 3
72 277 2
72 127 1
75 166 2
76 401 3
76 465 2
77 449 2
77 462 1
78 230 1
78 343 2
81 452 1
83 314 1
84 246 3
84 463 2
84 466 2
86 435 4
88 242 1
89 172 2
91 313 2
91 375 2
93 343 2
94 368 1
94 238 1
94 154 4
96 284 2
98 346 1
103 170 2
105 347 1
105 325 5
106 230 2
110 138 2
110 344 4
111 234 2
111 483 3
112 433 1
113 463 2
115 300 1
115 217 2
116 279 1
116 368 1
116 351 2
119 331 1
119 386 4
121 176 2
122 301 2
125 360 1
125 388 2
130 178 1
131 330 2
131 198 2
134 394 2
134 170 1
136 378 3
136 306 3
137 490 1
138 446 2
139 190 1
140 364 2
140 210 1
140 360 2
143 292 1
143 284 2
143 426 2
143 384 2
146 427 1
147 209 2
147 496 1
154 160 5
157 429 1
157 313 1
157 353 2
162 303 8
163 353 1
163 359 1
164 225 2
165 390 1
166 382 1
167 257 1
167 488 3
172 440 1
172 223 1
173 322 1
174 221 1
174 342 1
175 303 3
175 255 3
178 466 1
178 212 3
179 213 1
188 453 3
190 284 1
190 383 1
191 259 6
197 393 1
197 413 1
202 217 3
205 393 2
208 378 1
208 414 2
210 393 1
211 447 1
211 246 1
213 283 1
216 270 3
217 297 1
219 292 4
221 293 3
222 449 2
222 321 2
225 455 1
227 384 2
229 401 2
229 314 1
230 429 2
232 457 1
232 247 1
233 300 5
234 403 1
238 269 2
239 261 2
246 292 1
246 262 4
246 461 3
247 340 2
247 304 2
247 490 2
247 346 2
249 267 3
250 499 1
250 303 1
250 491 1
250 290 1
250 361 3
252 431 1
253 474 3
257 455 2
258 374 4
258 397 2
261 318 2
263 423 1
264 296 1
264 270 1
265 413 3
265 456 2
267 499 1
267 326 2
268 278 3
268 380 1
268 387 3
271 276 2
272 304 2
272 378 1
274 429 3
276 367 3
277 414 2
278 320 2
279 366 2
279 401 1
280 306 2
281 302 2
283 429 2
286 447 1
286 497 2
290 467 1
293 352 1
293 469 1
296 467 1
296 425 1
297 464 1
298 383 1
300 449 2
301 431 1
302 410 1
307 396 3
310 368 4
314 355 1
316 417 3
318 490 1
319 375 1
320 440 2
322 457 1
322 431 1
327 433 2
330 393 1
332 352 5
335 469 1
335 446 1
340 424 1
343 460 2
346 492 1
346 498 2
347 497 2
347 366 1
348 414 2
349 423 2
351 481 2
351 438 4
352 470 2
354 461 2
356 360 5
363 449 1
363 484 7
364 440 1
366 458 1
367 406 2
369 424 1
369 418 1
376 466 3
379 427 4
385 500 1
390 452 2
399 463 1
400 457 1
400 449 1
406 463 2
410 440 2
414 454 2
415 453 1
418 451 2
427 457 1
437 497 1
455 457 2
455 494 2
467 500 1
473 492 1
