1146 #waga drzewa
312 #liczba wierzcholkow
249, 170, 666, 29, 668, 638, 673, 669, 584, 482, 291, 709, 698, 228, 933, 44, 777, 212, 868, 891, 284, 609, 222, 892, 80, 257, 844, 177, 737, 84, 636, 191, 839, 307, 978, 813, 97, 863, 383, 920, 523, 907, 387, 736, 576, 6, 207, 807, 968, 226, 635, 319, 851, 458, 998, 422, 675, 3, 183, 914, 838, 135, 176, 615, 929, 498, 747, 597, 975, 601, 18, 442, 317, 131, 274, 642, 699, 137, 443, 301, 94, 441, 713, 9, 575, 462, 704, 959, 790, 714, 461, 17, 620, 822, 719, 689, 752, 233, 481, 614, 992, 923, 39, 560, 548, 106, 295, 535, 216, 159, 344, 465, 823, 815, 756, 456, 618, 825, 123, 958, 21, 594, 681, 138, 109, 158, 870, 799, 527, 134, 142, 536, 373, 155, 126, 278, 678, 16, 654, 948, 366, 22, 230, 643, 525, 965, 151, 930, 984, 5, 316, 545, 62, 147, 762, 731, 264, 411, 585, 602, 861, 73, 285, 895, 955, 531, 326,  #terminale
1 44 1
1 538 4
3 456 9
5 249 4
6 266 4
6 982 2
7 968 6
7 681 1
9 992 4
9 614 5
16 585 6
17 443 5
17 186 2
17 766 4
18 621 1
21 116 4
22 749 4
28 756 1
28 724 1
28 574 2
29 59 5
39 743 3
44 739 2
44 725 3
44 523 6
46 756 3
46 556 3
48 369 4
48 958 2
52 955 1
52 368 1
52 764 1
52 335 1
56 958 6
56 990 1
57 756 2
57 974 2
59 643 4
62 358 4
70 623 2
70 216 1
73 103 6
75 244 1
75 233 4
80 450 9
84 674 1
86 135 7
86 813 2
94 300 1
97 968 5
97 714 6
97 758 4
103 538 2
106 526 3
106 583 1
107 574 7
107 285 3
109 265 1
109 967 1
116 967 3
123 328 6
126 779 1
126 868 4
126 151 5
126 450 2
126 237 3
127 249 1
127 545 7
127 663 1
130 809 4
130 458 4
131 714 7
134 428 6
135 661 1
135 953 2
137 305 5
138 851 7
142 474 8
145 291 7
145 482 9
147 368 1
151 502 4
155 498 6
158 191 1
158 231 3
159 233 6
159 739 3
159 341 4
170 858 4
176 724 2
177 658 3
183 591 5
183 397 1
185 989 5
185 790 1
185 933 2
186 955 6
186 809 1
191 934 4
191 858 2
194 844 2
194 432 1
194 291 6
194 620 7
195 878 1
195 316 1
207 971 7
207 394 5
209 756 3
209 307 6
211 790 3
211 276 1
212 394 8
216 273 2
218 725 1
218 654 1
218 242 4
218 535 10
220 867 4
220 319 4
220 295 4
222 957 2
226 667 2
226 503 6
228 465 8
229 291 3
229 713 5
230 594 1
231 986 1
233 498 1
233 548 7
237 264 8
237 468 7
241 907 1
241 749 1
242 515 1
244 289 1
257 695 3
258 316 6
258 731 2
265 722 5
265 642 4
266 744 3
266 344 3
266 930 5
273 594 2
273 481 10
274 441 2
276 671 2
278 549 5
278 756 5
278 441 10
284 450 9
289 978 1
289 698 7
291 549 4
298 468 1
298 825 3
300 878 2
300 584 8
301 515 1
305 443 1
306 536 1
306 358 4
306 995 5
316 467 5
317 804 1
326 766 4
326 830 8
328 764 5
335 743 4
341 576 3
343 415 7
343 984 2
365 823 1
365 867 2
366 851 4
369 823 3
373 659 8
383 643 2
383 920 10
387 864 7
387 831 7
390 799 5
390 870 5
397 1000 1
410 1000 4
410 531 1
410 579 6
411 556 1
415 790 1
422 451 2
422 591 1
428 512 4
429 732 5
429 462 6
432 799 3
435 822 3
435 929 3
437 553 1
437 768 1
441 673 2
442 974 1
442 709 2
443 942 4
443 668 1
443 585 8
444 871 1
444 957 2
451 714 1
456 503 5
456 851 2
456 640 6
461 677 8
465 583 4
467 938 2
474 636 4
489 681 4
489 669 5
493 813 7
493 636 3
498 934 1
502 777 1
503 992 2
503 762 3
512 853 4
515 615 2
523 678 6
523 659 4
525 998 4
525 948 2
525 618 3
526 722 1
526 623 1
527 938 4
529 758 2
529 704 2
529 666 4
536 762 8
549 815 2
551 678 4
551 878 3
553 744 2
556 975 5
556 619 6
560 967 8
567 948 5
567 675 5
575 666 5
579 923 1
586 830 2
586 914 2
588 724 2
588 722 1
588 649 2
588 597 8
601 619 8
602 722 3
609 990 9
621 777 6
633 659 1
633 844 3
635 669 8
638 823 9
640 747 6
641 884 4
641 689 2
642 946 2
643 982 3
649 907 2
654 807 5
654 732 1
658 668 2
661 967 1
663 892 7
667 986 1
667 965 6
671 839 5
672 810 2
672 737 1
673 853 1
674 719 6
677 892 2
678 695 7
698 810 5
699 756 5
719 942 2
722 968 1
722 998 7
725 752 10
732 989 1
736 910 2
744 777 1
762 899 6
764 779 4
768 891 4
790 942 2
804 933 5
822 831 5
823 959 3
838 990 2
861 953 3
863 975 10
864 892 5
871 946 5
884 907 2
892 978 8
895 899 1
910 995 2
959 982 6
968 971 3
